Year;Consumer_price_indices;Food_and_non-alcoholic_beverages;Alcoholic_beverages_tobacco;Clothing_and_footwear;Housing_water_electricity_gas_and_other_fuels;Furnishings_household_equipment_and_routine_maintenance_of_the_house;Health;Transport;Communication;Recreation_and_culture;Education;Restaurants_and_hotels;Miscellaneous_goods_and_services
2001;106,10;108,00;102,00;101,80;104,50;101,20;105,60;98,50;99,20;104,30;110,70;112,50;101,50
2002;99,40;97,60;100,70;100,70;101,70;100,70;103,60;106,60;109,80;102,00;106,00;108,40;102,40
2003;108,20;111,10;104,30;100,70;106,40;102,20;103,50;102,40;100,00;101,90;107,10;108,00;102,30
2004;112,30;115,20;104,60;101,40;107,20;105,30;107,10;117,70;100,10;104,50;109,40;113,00;106,90
2005;110,30;110,20;107,70;102,20;114,60;102,10;109,20;119,70;101,70;102,70;118,00;118,60;106,30
2006;111,60;103,20;105,50;102,50;166,50;102,50;107,30;110,40;121,00;103,70;115,80;114,80;106,80
2007;116,60;123,70;109,50;101,90;112,30;102,90;113,20;114,10;97,20;104,70;115,80;116,50;111,40
2008;122,30;124,50;122,70;104,60;128,20;116,20;121,90;122,50;105,00;117,10;129,20;127,90;130,40
2009;112,30;110,90;138,40;107,60;108,20;114,30;126,30;119,20;104,30;111,80;115,10;110,00;119,10
2010;109,10;110,60;122,10;102,20;113,80;101,20;105,80;106,60;91,10;102,50;110,30;107,40;108,70
2011;104,60;101,70;108,80;101,00;111,00;103,50;106,40;120,90;103,50;103,20;105,70;107,20;105,40
2012;99,80;97,70;107,00;97,70;100,70;100,50;102,00;104,10;101,40;100,20;104,40;102,80;102,20
2013;100,50;99,30;110,10;96,50;100,30;99,30;103,00;101,30;100,70;99,70;102,20;101,40;102,50
2014;124,90;124,80;125,90;114,50;134,30;127,90;130,00;141,60;102,40;124,80;104,70;114,00;124,50
2015;143,30;141,50;122,70;135,00;203,00;136,00;129,10;120,40;107,00;137,90;124,20;123,30;131,40
2016;112,40;103,30;122,50;105,50;147,20;104,20;107,80;111,40;104,00;104,50;113,70;111,00;105,80
2017;113,70;117,70;120,70;100,90;110,60;103,10;107,50;116,70;109,10;104,50;114,90;117,30;107,60
2018;109,80;107,80;117,90;102,00;110,60;106,80;108,90;112,90;115,10;104,40;113,40;113,00;111,00
2019;104,10;104,80;113,00;97,70;98,10;99,80;103,80;97,60;111,80;99,90;113,50;108,80;107,80
2020;105,00;104,90;109,20;92,70;113,60;100,50;107,70;102,70;104,10;100,10;113,90;103,70;106,00
2021;110,00;112,70;109,40;96,50;109,80;104,20;106,10;111,10;107,40;105,00;117,00;109,00;109,10
2022;126,60;134,40;122,70;102,40;106,00;126,50;119,90;142,90;113,40;115,90;109,80;122,50;117,80
