Year;Total_institutions_number;Total_students_number;full-time_students;part_time_students_including_distance_learning;incomplete_secondary_education_dipomas_number;complete_secondary_education_diplomas_number;Total_teachers
1990_91;21,8;7132;6939;193;696;406;537
1991_92;21,9;7102;6918;184;699;409;543
1992_93;22;7088;6918;170;683;393;565
1993_94;22,1;7096;6937;159;674;375;579
1994_95;22,3;7125;6972;153;654;355;576
1995_96;22,3;7143;7007;136;639;361;596
1996_97;22,2;7134;7016;118;657;374;585
1997_98;22,1;7078;6970;108;670;378;571
1998_99;22,1;6987;6876;111;724;408;573
1999_00;22,2;6857;6743;114;737;434;576
2000_01;22,2;6764;6647;117;720;475;577
2001_02;22,2;6601;6486;115;738;505;568
2002_03;22,1;6350;6237;113;724;508;561
2003_04;21,9;6044;5936;108;720;526;551
2004_05;21,7;5731;5626;105;675;519;547
2005_06;21,6;5399;5301;98;649;515;543
2006_07;21,4;5120;5026;94;595;485;537
2007_08;21,2;4857;4768;89;561;467;531
2008_09;21;4617;4533;84;546;427;524
2009_10;20,6;4495;4421;74;317;391;522
2010_11;20,3;4299;4228;71;566;364;515
2011_12;19,9;4292;4225;67;480;215;509
2012_13;19,7;4222;4160;62;441;329;510
2013_14;19,3;4204;4150;54;411;304;508
2014_15;17,6;3757;3718;39;339;247;454
2015_16;17,3;3783;3750;33;336;229;444
2016_17;16,9;3846;3815;30;329;211;438
2017_18;16,2;3922;3894;28;329;203;440
2018_19;15,5;4042;4017;25;345;195;441
2019_20;15,2;4138;4116;22;352;198;440
2020_21;14,9;4211;4191;20;345;222;440
2021_22;14;4230;4103;17;363;229;435
2022_23;13;4042;3122;12;366;221;402
