Year;Number_of_institutions_of_preschool_education_thsds;Number_of_places_in_institutions_of_preschool_education_thsds;Number_of_persons_in_institutions_of_preschool_education_thsds;Coverage_of_children_by_institutions_of_preschool_education_percentage_of_total_children_of_specified_age
1990;24,50;2277,00;2428,00;57,00
1991;24,40;2243,00;2268,00;55,00
1992;23,80;2216,00;2063,00;51,00
1993;23,20;2189,00;1918,00;49,00
1994;22,30;2101,00;1736,00;47,00
1995;21,40;2014,00;1536,00;44,00
1996;20,20;1856,00;1342,00;41,00
1997;18,40;1770,00;1172,00;38,00
1998;17,60;1638,00;1103,00;38,00
1999;17,20;1216,00;1055,00;39,00
2000;16,30;1117,00;983,00;40,00
2001;15,70;1077,00;968,00;41,00
2002;15,30;1060,00;973,00;48,00
2003;15,00;1053,00;977,00;49,00
2004;14,90;1040,00;996,00;50,00
2005;15,10;1056,00;1032,00;51,00
2006;15,10;1063,00;1081,00;53,00
2007;15,30;1084,00;1137,00;54,00
2008;15,40;1110,00;1195,00;54,00
2009;15,50;1121,00;1214,00;53,00
2010;15,60;1136,00;1273,00;53,00
2011;16,10;1171,00;1354,00;55,00
2012;16,40;1204,00;1428,00;57,00
2013;16,70;1236,00;1471,00;61,00
2014;15,00;1077,00;1295,00;55,00
2015;14,80;1105,00;1291,00;55,00
2016;14,90;1125,00;1300,00;57,00
2017;14,90;1141,00;1304,00;59,00
2018;14,90;1156,00;1278,00;61,00
2019;14,80;1155,00;1230,00;63,00
2020;15,30;1153,00;1151,00;63,00
2021;15,00;1138,00;1111,00;65,00
2022;13,90;1047,00;934,00;53,00
